id	ach	pressure.pa	subject	flowrate	minute	t1	rh1	t2	rh2	t3	rh3	t4	rh4	surfaceT	labTemp	labRH
s1.h.0	18.5	10.0	s1	h	0	73.9	34.0	73.8	34.0	74.3	33.6	72.8	34.9	73.6	72.8	32.3
s1.h.1	17.7	10.0	s1	h	1	73.9	34.0	73.8	33.9	74.3	33.5	72.9	34.7	73.5	72.7	32.3
s1.h.2	7.8	10.0	s1	h	2	73.9	33.9	73.8	33.8	74.3	33.4	73.0	34.5	73.5	72.6	32.4
s1.h.3	1.4	10.0	s1	h	3	73.9	33.8	73.8	33.7	74.3	33.3	73.1	34.4	73.4	72.5	32.3
s1.h.4	4.8	5.8	s1	h	4	73.8	33.8	73.8	33.8	74.2	33.3	73.1	34.3	73.4	72.4	32.8
s1.h.5	4.2	10.0	s1	h	5	73.8	33.7	73.8	33.7	74.2	33.2	73.2	34.1	73.4	72.3	32.2
s1.h.6	2.7	8.1	s1	h	6	73.8	33.7	73.8	33.7	74.2	33.2	73.3	34.0	73.4	72.2	32.6
s1.h.7	2.8	5.2	s1	h	7	73.8	33.8	73.8	33.7	74.2	33.2	73.3	34.0	73.4	72.1	32.2
s1.h.8	2.8	5.1	s1	h	8	73.8	33.7	73.8	33.7	74.2	33.2	73.4	34.0	73.4	72.0	32.5
s1.h.9	2.8	5.3	s1	h	9	73.8	33.7	73.8	33.7	74.2	33.3	73.4	33.9	73.4	71.9	33.1
s1.h.10	2.8	5.4	s1	h	10	73.9	33.8	73.8	33.7	74.2	33.3	73.5	33.9	73.4	71.9	33.1
s1.h.11	2.7	5.2	s1	h	11	73.9	33.8	73.8	33.7	74.2	33.3	73.5	33.9	73.3	71.9	33.3
s1.h.12	2.7	5.2	s1	h	12	73.9	33.7	73.8	33.7	74.2	33.3	73.6	33.8	73.3	72.0	33.0
s1.h.13	2.7	5.2	s1	h	13	73.9	33.7	73.8	33.7	74.3	33.3	73.6	33.8	73.3	72.0	32.8
s1.h.14	2.7	5.2	s1	h	14	73.9	33.8	73.8	33.7	74.3	33.3	73.6	33.7	73.3	72.0	32.6
s1.h.15	2.7	5.1	s1	h	15	73.9	33.8	73.8	33.8	74.3	33.3	73.7	33.7	73.3	72.0	32.7
s1.h.16	2.6	5.1	s1	h	16	73.9	33.8	73.8	33.8	74.3	33.3	73.7	33.7	73.3	71.9	32.8
s1.h.17	2.7	5.3	s1	h	17	73.9	33.8	73.8	33.8	74.3	33.3	73.7	33.6	73.3	71.8	32.8
s1.h.18	2.8	5.4	s1	h	18	73.9	33.8	73.8	33.7	74.3	33.3	73.8	33.6	73.3	71.8	33.2
s1.h.19	2.8	5.3	s1	h	19	73.9	33.8	73.8	33.8	74.3	33.4	73.8	33.6	73.3	71.7	33.7
s1.h.20	2.7	5.3	s1	h	20	73.9	33.8	73.9	33.8	74.3	33.4	73.8	33.6	73.4	71.7	33.8
s1.h.21	2.8	5.5	s1	h	21	73.9	33.8	73.9	33.7	74.3	33.4	73.9	33.6	73.3	71.7	33.8
s1.h.22	2.7	5.3	s1	h	22	73.9	33.8	73.9	33.8	74.3	33.4	73.9	33.6	73.3	71.8	34.1
s1.h.23	2.8	5.3	s1	h	23	73.9	33.9	73.9	33.8	74.3	33.4	73.9	33.6	73.3	71.8	34.4
s1.h.24	2.8	5.3	s1	h	24	73.9	33.9	73.9	33.8	74.3	33.5	73.9	33.6	73.4	71.8	34.4
s1.h.25	2.9	5.5	s1	h	25	73.9	33.9	73.9	33.8	74.4	33.5	73.9	33.6	73.4	71.7	34.9
s1.h.26	2.9	5.6	s1	h	26	74.0	33.9	73.9	33.8	74.4	33.5	73.9	33.6	73.3	71.5	34.5
s1.h.27	2.9	5.6	s1	h	27	74.0	33.9	73.9	33.8	74.4	33.5	73.9	33.6	73.3	71.3	34.8
s1.h.28	2.8	5.5	s1	h	28	74.0	33.9	73.9	33.8	74.4	33.5	74.0	33.6	73.3	71.3	35.0
s1.h.29	2.8	5.4	s1	h	29	74.0	34.0	73.9	33.9	74.4	33.6	74.0	33.6	73.4	71.2	35.0
s1.h.30	2.7	5.4	s1	h	30	74.0	34.0	74.0	33.9	74.4	33.6	74.0	33.6	73.3	71.2	34.8
s1.h.31	2.8	5.3	s1	h	31	74.0	34.0	74.0	33.9	74.4	33.6	74.0	33.6	73.4	71.2	34.9
s1.h.32	2.8	5.4	s1	h	32	74.0	34.0	74.0	33.9	74.4	33.6	74.0	33.6	73.4	71.1	34.9
s1.h.33	2.8	5.4	s1	h	33	74.0	34.0	74.0	34.0	74.4	33.7	74.0	33.6	73.4	71.0	34.9
s1.h.34	2.8	5.4	s1	h	34	74.0	34.0	74.0	34.0	74.4	33.7	74.1	33.6	73.5	71.0	35.1
s1.h.35	2.8	5.4	s1	h	35	74.0	34.0	74.0	34.0	74.4	33.7	74.1	33.5	73.4	70.9	35.0
s1.h.36	2.8	5.4	s1	h	36	74.0	34.1	74.0	34.0	74.4	33.7	74.1	33.6	73.4	71.0	34.8
s1.h.37	2.8	5.3	s1	h	37	74.0	34.1	74.1	34.0	74.4	33.8	74.2	33.6	73.4	71.0	35.1
s1.h.38	2.8	5.2	s1	h	38	74.0	34.1	74.1	34.0	74.4	33.8	74.2	33.6	73.4	70.9	35.4
s1.h.39	2.8	5.4	s1	h	39	74.0	34.1	74.1	34.0	74.4	33.9	74.2	33.6	73.4	71.0	35.3
s1.h.40	2.8	5.4	s1	h	40	74.1	34.2	74.1	34.0	74.4	33.9	74.2	33.6	73.4	71.0	35.0
s1.h.41	2.8	5.3	s1	h	41	74.1	34.2	74.1	34.1	74.4	33.9	74.3	33.6	73.5	71.2	34.7
s1.h.42	2.8	5.4	s1	h	42	74.1	34.2	74.1	34.1	74.4	33.9	74.3	33.6	73.4	71.3	34.8
s1.h.43	2.8	5.4	s1	h	43	74.1	34.2	74.1	34.0	74.4	33.9	74.3	33.6	73.5	71.2	34.6
s1.h.44	2.8	5.5	s1	h	44	74.1	34.2	74.1	34.1	74.4	34.0	74.3	33.5	73.5	71.2	34.4
s1.h.45	2.8	5.4	s1	h	45	74.1	34.2	74.2	34.1	74.4	34.0	74.3	33.5	73.5	71.2	34.2
s1.h.46	2.9	5.5	s1	h	46	74.1	34.2	74.2	34.1	74.4	34.0	74.3	33.5	73.4	71.2	34.0
s1.h.47	2.8	5.4	s1	h	47	74.1	34.2	74.2	34.1	74.4	34.0	74.3	33.4	73.5	71.2	33.8
s1.h.48	2.8	5.4	s1	h	48	74.1	34.2	74.2	34.1	74.4	33.9	74.3	33.4	73.5	71.2	34.1
s1.h.49	2.8	5.6	s1	h	49	74.1	34.2	74.2	34.1	74.4	33.9	74.3	33.4	73.6	71.1	33.8
