,Minimum,Average,Maximum,Std. Dev.,Std. Err.
Channel 1,0,42053.34,215367,32715.35,532.4
Channel 2,0,5289.82,27298,3332.65,54.23
Channel 3,0,1173,6077,879.45,14.31
Channel 4,0,120.65,500,83.64,1.36
Channel 5,0,40.58,376,32.39,0.53
Channel 6,0,7.28,120,8.38,0.14

Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(°F),Humidity(%)
1,box.a5,4/21/2014 7:37:16 PM,(ok),00:01:00,OK,0.3,71075,,0.5,16897,,1,4852,,2.5,308,,5,90,,10,15,,OK,0.10,N/A,0
2,box.a5,4/21/2014 7:38:16 PM,(ok),00:01:00,OK,0.3,80366,,0.5,18807,,1,5039,,2.5,324,,5,106,,10,30,,OK,0.10,N/A,0
3,box.a5,4/21/2014 7:39:16 PM,(ok),00:01:00,OK,0.3,75632,,0.5,18388,,1,5426,,2.5,396,,5,124,,10,29,,OK,0.10,N/A,0
4,box.a5,4/21/2014 7:40:16 PM,(ok),00:01:00,OK,0.3,81636,,0.5,19372,,1,5453,,2.5,375,,5,86,,10,18,,OK,0.10,N/A,0
5,box.a5,4/21/2014 7:41:16 PM,(ok),00:01:00,OK,0.3,69766,,0.5,17422,,1,5295,,2.5,342,,5,79,,10,13,,OK,0.10,N/A,0
6,box.a5,4/21/2014 7:42:16 PM,(ok),00:01:00,OK,0.3,82407,,0.5,19101,,1,5622,,2.5,400,,5,99,,10,9,,OK,0.10,N/A,0
7,box.a5,4/21/2014 7:43:16 PM,(ok),00:01:00,OK,0.3,73093,,0.5,17292,,1,5186,,2.5,348,,5,78,,10,11,,OK,0.10,N/A,0
8,box.a5,4/21/2014 7:44:16 PM,(ok),00:01:00,OK,0.3,70015,,0.5,16493,,1,4466,,2.5,261,,5,65,,10,15,,OK,0.10,N/A,0
9,box.a5,4/21/2014 7:45:16 PM,(ok),00:01:00,OK,0.3,68157,,0.5,15803,,1,4210,,2.5,256,,5,93,,10,26,,OK,0.10,N/A,0
10,box.a5,4/21/2014 7:46:16 PM,(ok),00:01:00,OK,0.3,69085,,0.5,16763,,1,4633,,2.5,265,,5,96,,10,20,,OK,0.10,N/A,0
11,box.a5,4/21/2014 7:47:16 PM,(ok),00:01:00,OK,0.3,70874,,0.5,17762,,1,5433,,2.5,344,,5,81,,10,12,,OK,0.10,N/A,0
12,box.a5,4/21/2014 7:48:16 PM,(ok),00:01:00,OK,0.3,73572,,0.5,18344,,1,5520,,2.5,369,,5,93,,10,13,,OK,0.10,N/A,0
13,box.a5,4/21/2014 7:49:16 PM,(ok),00:01:00,OK,0.3,71655,,0.5,18105,,1,5507,,2.5,369,,5,108,,10,15,,OK,0.10,N/A,0
14,box.a5,4/21/2014 7:50:16 PM,(ok),00:01:00,OK,0.3,67860,,0.5,17383,,1,5537,,2.5,391,,5,114,,10,19,,OK,0.10,N/A,0
15,box.a5,4/21/2014 7:51:16 PM,(ok),00:01:00,OK,0.3,71968,,0.5,17281,,1,4875,,2.5,334,,5,122,,10,34,,OK,0.10,N/A,0
16,box.a5,4/21/2014 7:52:16 PM,(ok),00:01:00,OK,0.3,70552,,0.5,17370,,1,5231,,2.5,336,,5,103,,10,31,,OK,0.10,N/A,0
17,box.a5,4/21/2014 7:53:16 PM,(ok),00:01:00,OK,0.3,75367,,0.5,18481,,1,5443,,2.5,327,,5,83,,10,14,,OK,0.10,N/A,0
18,box.a5,4/21/2014 7:54:16 PM,(ok),00:01:00,OK,0.3,70429,,0.5,17881,,1,5323,,2.5,348,,5,88,,10,17,,OK,0.10,N/A,0
19,box.a5,4/21/2014 7:55:16 PM,(ok),00:01:00,OK,0.3,74927,,0.5,18572,,1,5632,,2.5,320,,5,78,,10,9,,OK,0.10,N/A,0
20,box.a5,4/21/2014 7:56:16 PM,(ok),00:01:00,OK,0.3,77788,,0.5,18704,,1,5506,,2.5,341,,5,74,,10,16,,OK,0.10,N/A,0
21,box.a5,4/21/2014 7:57:16 PM,(ok),00:01:00,OK,0.3,72711,,0.5,17733,,1,5233,,2.5,287,,5,97,,10,16,,OK,0.10,N/A,0
22,box.a5,4/21/2014 7:58:16 PM,(ok),00:01:00,OK,0.3,67101,,0.5,16976,,1,4989,,2.5,305,,5,91,,10,14,,OK,0.10,N/A,0
23,box.a5,4/21/2014 7:59:16 PM,(ok),00:01:00,OK,0.3,72174,,0.5,17994,,1,5509,,2.5,331,,5,73,,10,9,,OK,0.10,N/A,0
24,box.a5,4/21/2014 8:00:16 PM,(ok),00:01:00,OK,0.3,70199,,0.5,17246,,1,5111,,2.5,288,,5,65,,10,2,,OK,0.10,N/A,0
25,box.a5,4/21/2014 8:01:16 PM,(ok),00:01:00,OK,0.3,62340,,0.5,15827,,1,4832,,2.5,332,,5,66,,10,7,,OK,0.10,N/A,0
26,box.a5,4/21/2014 8:02:16 PM,(ok),00:01:00,OK,0.3,66348,,0.5,16402,,1,4732,,2.5,245,,5,59,,10,11,,OK,0.10,N/A,0
27,box.a5,4/21/2014 8:03:16 PM,(ok),00:01:00,OK,0.3,62448,,0.5,15706,,1,4658,,2.5,262,,5,44,,10,4,,OK,0.10,N/A,0
28,box.a5,4/21/2014 8:04:16 PM,(ok),00:01:00,OK,0.3,61664,,0.5,16020,,1,4919,,2.5,260,,5,59,,10,8,,OK,0.10,N/A,0
29,box.a5,4/21/2014 8:05:16 PM,(ok),00:01:00,OK,0.3,61649,,0.5,15569,,1,4513,,2.5,229,,5,48,,10,6,,OK,0.10,N/A,0
30,box.a5,4/21/2014 8:06:16 PM,(ok),00:01:00,OK,0.3,59037,,0.5,15162,,1,4541,,2.5,220,,5,38,,10,5,,OK,0.10,N/A,0
31,box.a5,4/21/2014 8:07:16 PM,(ok),00:01:00,OK,0.3,67086,,0.5,16284,,1,4629,,2.5,239,,5,38,,10,4,,OK,0.10,N/A,0
32,box.a5,4/21/2014 8:08:16 PM,(ok),00:01:00,OK,0.3,68104,,0.5,16522,,1,4806,,2.5,239,,5,49,,10,8,,OK,0.10,N/A,0
33,box.a5,4/21/2014 8:09:16 PM,(ok),00:01:00,OK,0.3,73430,,0.5,17607,,1,5143,,2.5,284,,5,44,,10,7,,OK,0.10,N/A,0
34,box.a5,4/21/2014 8:10:16 PM,(ok),00:01:00,OK,0.3,65659,,0.5,16550,,1,5337,,2.5,304,,5,55,,10,8,,OK,0.10,N/A,0
35,box.a5,4/21/2014 8:11:16 PM,(ok),00:01:00,OK,0.3,71968,,0.5,17971,,1,5466,,2.5,316,,5,60,,10,6,,OK,0.10,N/A,0
36,box.a5,4/21/2014 8:12:16 PM,(ok),00:01:00,OK,0.3,71458,,0.5,17544,,1,5221,,2.5,303,,5,58,,10,4,,OK,0.10,N/A,0
