,Minimum,Average,Maximum,Std. Dev.,Std. Err.
Channel 1,0,148533.46,183865,27173.2,1558.49
Channel 2,0,9127.67,10517,1067.5,61.23
Channel 3,0,1153.55,1518,238.31,13.67
Channel 4,0,100.54,196,43.63,2.5
Channel 5,0,22.01,51,12.49,0.72
Channel 6,0,1.38,12,1.78,0.1

Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(°F),Humidity(%)
1,purge,10/3/2014 10:00:23 AM,(ok),00:02:00,OK,0.3,0,,0.5,0,,1,0,,3,0,,5,0,,10,0,,OK,0.20,N/A,0
2,purge,10/3/2014 10:04:54 AM,(ok),00:05:00,OK,0.3,0,,0.5,0,,1,0,,3,0,,5,0,,10,0,,OK,0.50,N/A,0
3,box,10/3/2014 10:13:27 AM,(ok),00:01:00,OK,0.3,141071,,0.5,9673,,1,1510,,2.5,154,,5,51,,10,6,,OK,0.10,N/A,0
4,box,10/3/2014 10:14:27 AM,(ok),00:01:00,OK,0.3,140160,,0.5,9465,,1,1465,,2.5,138,,5,32,,10,8,,OK,0.10,N/A,0
5,box,10/3/2014 10:15:27 AM,(ok),00:01:00,OK,0.3,145757,,0.5,9783,,1,1367,,2.5,132,,5,36,,10,12,,OK,0.10,N/A,0
6,box,10/3/2014 10:16:27 AM,(ok),00:01:00,OK,0.3,144350,,0.5,9526,,1,1370,,2.5,144,,5,51,,10,9,,OK,0.10,N/A,0
7,box,10/3/2014 10:17:27 AM,(ok),00:01:00,OK,0.3,145205,,0.5,9702,,1,1384,,2.5,145,,5,42,,10,3,,OK,0.10,N/A,0
8,box,10/3/2014 10:18:27 AM,(ok),00:01:00,OK,0.3,146291,,0.5,9612,,1,1399,,2.5,158,,5,49,,10,7,,OK,0.10,N/A,0
9,box,10/3/2014 10:19:27 AM,(ok),00:01:00,OK,0.3,146544,,0.5,9489,,1,1438,,2.5,142,,5,44,,10,7,,OK,0.10,N/A,0
10,box,10/3/2014 10:20:27 AM,(ok),00:01:00,OK,0.3,148849,,0.5,9639,,1,1389,,2.5,126,,5,41,,10,6,,OK,0.10,N/A,0
11,box,10/3/2014 10:21:27 AM,(ok),00:01:00,OK,0.3,147316,,0.5,9550,,1,1415,,2.5,133,,5,40,,10,4,,OK,0.10,N/A,0
12,box,10/3/2014 10:22:27 AM,(ok),00:01:00,OK,0.3,147434,,0.5,9572,,1,1382,,2.5,153,,5,50,,10,7,,OK,0.10,N/A,0
13,box,10/3/2014 10:23:27 AM,(ok),00:01:00,OK,0.3,146700,,0.5,9468,,1,1374,,2.5,142,,5,32,,10,4,,OK,0.10,N/A,0
14,box,10/3/2014 10:24:27 AM,(ok),00:01:00,OK,0.3,147674,,0.5,9353,,1,1379,,2.5,133,,5,37,,10,2,,OK,0.10,N/A,0
15,box,10/3/2014 10:25:27 AM,(ok),00:01:00,OK,0.3,147397,,0.5,9386,,1,1380,,2.5,134,,5,35,,10,7,,OK,0.10,N/A,0
