,Minimum,Average,Maximum,Std. Dev.,Std. Err.,,,,,,,,,,,,,,,,,,,,,,
Channel 1,0,113683.93,171920,21670.8,1247.01,,,,,,,,,,,,,,,,,,,,,,
Channel 2,0,9173.55,15336,2218.13,127.64,,,,,,,,,,,,,,,,,,,,,,
Channel 3,0,1742.93,3256,805.49,46.35,,,,,,,,,,,,,,,,,,,,,,
Channel 4,0,237.65,531,143.54,8.26,,,,,,,,,,,,,,,,,,,,,,
Channel 5,0,73.53,164,48.72,2.8,,,,,,,,,,,,,,,,,,,,,,
Channel 6,0,5.73,17,4.72,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(¡F),Humidity(%)
1,purge,10/3/14 9:47,(ok),0:02:00,OK,0.3,0,,0.5,0,,1,0,,3,0,,5,0,,10,0,,OK,0.2,N/A,0
2,purge,10/3/14 9:50,(ok),0:05:00,OK,0.3,0,,0.5,0,,1,0,,3,0,,5,0,,10,0,,OK,0.5,N/A,0
3,supply,10/3/14 10:14,(ok),0:01:00,OK,0.3,146526,,0.5,11088,,1,1563,,2.5,168,,5,60,,10,14,,OK,0.1,N/A,0
4,supply,10/3/14 10:15,(ok),0:01:00,OK,0.3,141629,,0.5,10334,,1,1298,,2.5,106,,5,25,,10,2,,OK,0.1,N/A,0
5,supply,10/3/14 10:16,(ok),0:01:00,OK,0.3,112849,,0.5,7877,,1,885,,2.5,74,,5,21,,10,3,,OK,0.1,N/A,0
6,supply,10/3/14 10:17,(ok),0:01:00,OK,0.3,125973,,0.5,9635,,1,1571,,2.5,185,,5,53,,10,3,,OK,0.1,N/A,0
7,supply,10/3/14 10:18,(ok),0:01:00,OK,0.3,160485,,0.5,13449,,1,2516,,2.5,354,,5,98,,10,15,,OK,0.1,N/A,0
8,supply,10/3/14 10:19,(ok),0:01:00,OK,0.3,157024,,0.5,12998,,1,2432,,2.5,349,,5,117,,10,6,,OK,0.1,N/A,0
9,supply,10/3/14 10:20,(ok),0:01:00,OK,0.3,157109,,0.5,13109,,1,2505,,2.5,357,,5,106,,10,9,,OK,0.1,N/A,0
10,supply,10/3/14 10:21,(ok),0:01:00,OK,0.3,154887,,0.5,12813,,1,2454,,2.5,323,,5,83,,10,5,,OK,0.1,N/A,0
11,supply,10/3/14 10:22,(ok),0:01:00,OK,0.3,157475,,0.5,13038,,1,2416,,2.5,346,,5,101,,10,6,,OK,0.1,N/A,0
12,supply,10/3/14 10:23,(ok),0:01:00,OK,0.3,160742,,0.5,13425,,1,2451,,2.5,368,,5,100,,10,5,,OK,0.1,N/A,0
13,supply,10/3/14 10:24,(ok),0:01:00,OK,0.3,155940,,0.5,13142,,1,2444,,2.5,324,,5,91,,10,5,,OK,0.1,N/A,0
14,supply,10/3/14 10:25,(ok),0:01:00,OK,0.3,158007,,0.5,13153,,1,2402,,2.5,300,,5,95,,10,6,,OK,0.1,N/A,0
15,supply,10/3/14 10:26,(ok),0:01:00,OK,0.3,152117,,0.5,12497,,1,2310,,2.5,323,,5,89,,10,15,,OK,0.1,N/A,0
16,supply,10/3/14 10:27,(ok),0:01:00,OK,0.3,152296,,0.5,13028,,1,2377,,2.5,350,,5,90,,10,9,,OK,0.1,N/A,0
17,supply,10/3/14 10:28,(ok),0:01:00,OK,0.3,154197,,0.5,13163,,1,2431,,2.5,321,,5,88,,10,5,,OK,0.1,N/A,0
18,supply,10/3/14 10:29,(ok),0:01:00,OK,0.3,154557,,0.5,13369,,1,2539,,2.5,339,,5,99,,10,3,,OK,0.1,N/A,0
19,supply,10/3/14 10:30,(ok),0:01:00,OK,0.3,153752,,0.5,13831,,1,2827,,2.5,482,,5,160,,10,11,,OK,0.1,N/A,0
20,supply,10/3/14 10:31,(ok),0:01:00,OK,0.3,150854,,0.5,13402,,1,2894,,2.5,493,,5,149,,10,12,,OK,0.1,N/A,0
21,supply,10/3/14 10:32,(ok),0:01:00,OK,0.3,149112,,0.5,13211,,1,2615,,2.5,424,,5,139,,10,10,,OK,0.1,N/A,0
22,supply,10/3/14 10:33,(ok),0:01:00,OK,0.3,149329,,0.5,12855,,1,2351,,2.5,346,,5,92,,10,4,,OK,0.1,N/A,0
23,supply,10/3/14 10:34,(ok),0:01:00,OK,0.3,146380,,0.5,12519,,1,2400,,2.5,337,,5,110,,10,12,,OK,0.1,N/A,0
24,supply,10/3/14 10:35,(ok),0:01:00,OK,0.3,147296,,0.5,12988,,1,2551,,2.5,334,,5,97,,10,4,,OK,0.1,N/A,0
25,supply,10/3/14 10:36,(ok),0:01:00,OK,0.3,151574,,0.5,13172,,1,2571,,2.5,358,,5,117,,10,3,,OK,0.1,N/A,0
26,supply,10/3/14 10:37,(ok),0:01:00,OK,0.3,151791,,0.5,14087,,1,2486,,2.5,345,,5,96,,10,9,,OK,0.1,N/A,0
27,supply,10/3/14 10:38,(ok),0:01:00,OK,0.3,140333,,0.5,12446,,1,2482,,2.5,320,,5,101,,10,7,,OK,0.1,N/A,0
28,supply,10/3/14 10:39,(ok),0:01:00,OK,0.3,135012,,0.5,11304,,1,2328,,2.5,334,,5,115,,10,9,,OK,0.1,N/A,0
29,supply,10/3/14 10:40,(ok),0:01:00,OK,0.3,135283,,0.5,11660,,1,2308,,2.5,328,,5,111,,10,6,,OK,0.1,N/A,0
30,supply,10/3/14 10:41,(ok),0:01:00,OK,0.3,134361,,0.5,11140,,1,2307,,2.5,346,,5,105,,10,8,,OK,0.1,N/A,0
31,supply,10/3/14 10:42,(ok),0:01:00,OK,0.3,133995,,0.5,11309,,1,2357,,2.5,314,,5,102,,10,3,,OK,0.1,N/A,0
32,supply,10/3/14 10:43,(ok),0:01:00,OK,0.3,137815,,0.5,11769,,1,2395,,2.5,328,,5,87,,10,6,,OK,0.1,N/A,0
33,supply,10/3/14 10:44,(ok),0:01:00,OK,0.3,131882,,0.5,11145,,1,2297,,2.5,338,,5,121,,10,8,,OK,0.1,N/A,0
34,supply,10/3/14 10:45,(ok),0:01:00,OK,0.3,128780,,0.5,10903,,1,2234,,2.5,300,,5,98,,10,8,,OK,0.1,N/A,0
35,supply,10/3/14 10:46,(ok),0:01:00,OK,0.3,125095,,0.5,10467,,1,2054,,2.5,264,,5,73,,10,5,,OK,0.1,N/A,0
36,supply,10/3/14 10:47,(ok),0:01:00,OK,0.3,128209,,0.5,10800,,1,2269,,2.5,300,,5,87,,10,8,,OK,0.1,N/A,0
37,supply,10/3/14 10:48,(ok),0:01:00,OK,0.3,131229,,0.5,11108,,1,2265,,2.5,299,,5,72,,10,4,,OK,0.1,N/A,0
38,supply,10/3/14 10:49,(ok),0:01:00,OK,0.3,136084,,0.5,11546,,1,2255,,2.5,295,,5,112,,10,13,,OK,0.1,N/A,0
39,supply,10/3/14 10:50,(ok),0:01:00,OK,0.3,134792,,0.5,11520,,1,2218,,2.5,316,,5,79,,10,5,,OK,0.1,N/A,0
40,supply,10/3/14 10:51,(ok),0:01:00,OK,0.3,133418,,0.5,11509,,1,2298,,2.5,288,,5,87,,10,7,,OK,0.1,N/A,0
41,supply,10/3/14 10:52,(ok),0:01:00,OK,0.3,132369,,0.5,11488,,1,2366,,2.5,347,,5,109,,10,4,,OK,0.1,N/A,0
42,supply,10/3/14 10:53,(ok),0:01:00,OK,0.3,132423,,0.5,11409,,1,2328,,2.5,338,,5,100,,10,8,,OK,0.1,N/A,0
43,supply,10/3/14 10:54,(ok),0:01:00,OK,0.3,132446,,0.5,11284,,1,2207,,2.5,271,,5,89,,10,4,,OK,0.1,N/A,0
44,supply,10/3/14 10:55,(ok),0:01:00,OK,0.3,133198,,0.5,11370,,1,2257,,2.5,325,,5,103,,10,7,,OK,0.1,N/A,0
45,supply,10/3/14 10:56,(ok),0:01:00,OK,0.3,129774,,0.5,11334,,1,2396,,2.5,337,,5,96,,10,3,,OK,0.1,N/A,0
46,supply,10/3/14 10:57,(ok),0:01:00,OK,0.3,124603,,0.5,10984,,1,2246,,2.5,351,,5,99,,10,10,,OK,0.1,N/A,0
47,supply,10/3/14 10:58,(ok),0:01:00,OK,0.3,128655,,0.5,11557,,1,2570,,2.5,372,,5,119,,10,7,,OK,0.1,N/A,0
48,supply,10/3/14 10:59,(ok),0:01:00,OK,0.3,133503,,0.5,12220,,1,2690,,2.5,376,,5,120,,10,7,,OK,0.1,N/A,0
49,supply,10/3/14 11:00,(ok),0:01:00,OK,0.3,131270,,0.5,12010,,1,2742,,2.5,333,,5,99,,10,10,,OK,0.1,N/A,0
