sampleID	seqs
f.l.s08.sup1	17100
f.l.s06.6	16302
f.l.s03.6	14810
f.h.s08.exh2	14473
f.h.s08.exh3	13691
f.h.s04.4	13176
f.h.s04.3	13150
f.l.s01.sup2	13125
f.l.s08.sup2	12926
f.h.s04.5	12288
f.h.s03.3	11860
f.l.s07.sup3	11574
f.h.s05.sup3	11401
extr.cont.05	11336
f.l.s07.sup2	11326
f.l.s07.exh1	11315
f.l.s03.sup3	11293
f.h.s08.exh1	11272
f.h.s03.5	11119
f.l.s02.3	11099
f.l.s04.sup1	10982
f.h.s07.exh1	10954
f.h.s04.1	10877
f.h.s05.3	10830
f.l.s03.exh3	10684
f.l.s03.exh2	10558
f.l.s07.exh2	10538
f.l.s07.sup1	10521
f.l.s01.exh1	10503
f.h.s05.exh2	10320
f.h.s01.sup3	10280
f.h.s03.6	10141
f.h.s05.2	10029
f.h.s01.6	10024
f.h.s05.sup2	9979
f.l.s03.4	9914
f.h.s01.2	9881
f.h.s07.2	9831
f.l.s06.exh2	9775
f.l.s06.exh1	9698
extr.cont.13	9619
f.h.s01.sup2	9585
f.l.s02.exh1	9582
f.h.s01.exh2	9530
f.h.s04.2	9522
f.h.s01.4	9500
extr.cont.16	9454
swa.6.s01	9419
f.l.s01.sup1	9416
f.h.s02.sup1	9302
f.l.s04.exh2	9277
f.l.s08.sup3	8901
f.h.s03.exh1	8864
f.l.s08.exh3	8858
f.h.s03.exh3	8829
f.l.s03.5	8808
f.h.s03.sup1	8761
f.h.s05.6	8538
f.l.s08.4	8469
extr.cont.17	8439
f.h.s01.5	8418
f.l.s04.4	8333
f.l.s08.exh1	8257
f.l.s02.sup2	8241
f.h.s01.exh3	8058
f.l.s03.exh1	7903
f.l.s01.6	7865
f.h.s04.6	7835
f.h.s03.exh2	7785
f.h.s07.exh2	7784
f.h.s08.sup2	7681
extr.cont.11	7409
extr.cont.04	7278
f.l.s04.sup2	7258
f.l.s03.sup1	7171
f.l.s02.6	7118
extr.cont.18	7010
f.l.s02.sup3	6933
f.l.s04.exh3	6908
f.h.s05.exh1	6667
f.h.s03.1	6642
f.h.s05.1	6608
f.l.s01.2	6409
f.l.s07.exh3	6406
f.h.s02.5	6279
f.h.s01.sup1	6014
extr.cont.06	5993
f.l.s02.1	5968
f.h.s06.exh1	5838
f.h.s06.exh3	5658
f.h.s07.1	5650
f.h.s04.sup1	5650
f.l.s02.exh2	5606
f.l.s08.exh2	5572
f.l.s01.exh2	5536
f.l.s02.4	5523
f.l.s05.sup3	5490
f.l.s05.sup2	5326
f.h.s06.sup3	5305
f.l.s05.2	5177
f.l.s01.sup3	5174
f.l.s05.exh2	5097
f.h.s05.exh3	4982
swa.2.s05	4965
f.h.s03.sup2	4851
f.l.s08.1	4786
f.l.s04.5	4766
f.l.s03.3	4755
f.h.s01.3	4744
f.l.s05.1	4717
f.l.s08.6	4704
f.h.s06.4	4703
f.l.s04.2	4687
f.l.s05.exh1	4638
f.l.s01.1	4614
f.l.s01.5	4507
f.h.s02.sup3	4467
f.h.s07.3	4461
f.h.s08.3	4426
f.h.s02.6	4368
f.l.s01.3	4353
swa.4.s07	4290
extr.cont.10	4254
f.l.s07.2	4093
f.h.s07.exh3	3900
f.l.s04.sup3	3749
extr.cont.12	3641
f.l.s06.sup2	3638
swa.6.s03	3525
f.h.s02.4	3340
swa.5.s07	3295
f.h.s08.1	3283
f.h.s08.2	3176
f.l.s01.4	3167
swa.4.s06	3164
f.h.s05.sup1	3153
swa.5.s02	3120
f.h.s07.sup3	3021
swa.4.s01	2941
extr.cont.09	2839
f.l.s07.4	2764
swa.5.s05	2687
f.l.s08.3	2570
swa.6.s04	2558
f.h.s07.sup2	2550
f.h.s08.6	2487
f.l.s05.3	2448
swa.4.s04	2438
swa.3.s03	2405
f.l.s06.exh3	2379
f.l.s06.4	2346
f.l.s05.4	2332
f.h.s04.sup3	2157
swa.5.s04	2123
swa.1.s02	2122
extr.cont.14	2077
f.l.s04.6	1973
f.h.s02.sup2	1958
f.h.s01.1	1858
f.l.s08.2	1846
f.l.s03.sup2	1767
f.h.s01.exh1	1764
swa.6.s07	1695
f.l.s02.sup1	1695
extr.cont.15	1672
f.h.s04.sup2	1596
f.l.s02.exh3	1590
f.h.s07.6	1539
f.h.s06.3	1522
f.l.s06.2	1507
f.l.s05.sup1	1431
f.l.s06.1	1424
swa.5.s01	1259
f.l.s06.5	1233
f.l.s07.6	1228
extr.cont.02	1188
f.h.s06.sup2	1127
f.h.s07.4	1120
f.l.s04.exh1	1081
swa.1.s07	1065
swa.6.s05	1025
f.l.s07.3	1011
f.l.s03.1	996
swa.4.s05	990
f.l.s08.5	980
f.l.s07.5	972
swa.4.s02	895
swa.4.s03	813
f.h.s03.4	792
f.l.s02.2	756
f.l.s04.3	746
f.h.s06.2	744
f.h.s06.exh2	730
f.l.s01.exh3	712
f.h.s02.3	651
swa.3.s07	647
swa.5.s03	547
extr.cont.01	520
f.h.s04.exh3	507
f.l.s07.1	501
f.h.s02.2	497
swa.1.s04	439
extr.cont.03	438
f.l.s06.sup3	429
f.l.s05.6	413
f.l.s06.3	379
swa.1.s06	378
f.l.s02.5	375
swa.6.s08	343
f.h.s07.5	330
f.h.s03.sup3	317
f.h.s02.1	302
swa.2.s01	280
f.h.s06.5	280
swa.6.s06	278
f.h.s07.sup1	276
f.h.s08.5	271
swa.6.s02	263
extr.cont.07	250
f.l.s06.sup1	239
f.h.s04.exh2	238
swa.5.s08	228
f.l.s04.1	210
f.h.s06.1	208
swa.1.s05	207
swa.1.s01	201
swa.3.s05	197
swa.3.s01	185
f.h.s03.2	185
f.l.s05.exh3	184
f.h.s06.6	132
swa.4.s08	131
swa.3.s04	120
swa.2.s06	120
swa.2.s03	111
swa.3.s08	87
f.h.s08.4	87
swa.1.s03	86
swa.2.s02	83
f.h.s04.exh1	77
swa.3.s06	70
swa.1.s08	65
extr.cont.08	61
swa.2.s07	49
swa.5.s06	42
swa.3.s02	42
f.h.s02.exh1	41
f.l.s05.5	35
swa.2.s04	32
swa.2.s08	27
f.h.s06.sup1	25
f.h.s08.sup3	22
f.h.s05.5	22
f.h.s05.4	19
f.h.s08.sup1	16
f.l.s03.2	14
f.h.s02.exh3	11
f.h.s02.exh2	6
